Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		7.8		-0.619		-2.5		0.0052		140.33		-4.8						
0.098		27.0		-0.607		0.0		-0.0071		138.76		-16.4						
0.195		47.0		-0.603		0.0		0.0037		140.35		-28.3						
0.293		66.5		-0.592		1.3		0.0021		140.25		-39.4						
0.391		86.5		-0.577		1.3		0.0006		140.02		-50.0						
0.488		106.5		-0.580		-1.2		0.0021		140.00		-61.7						
0.586		126.5		-0.567		0.0		0.0052		140.58		-71.7						
0.684		141.7		-0.556		2.6		0.0037		140.61		-78.9						
0.781		156.1		-0.542		0.0		0.0006		139.90		-84.6						
0.879		172.2		-0.542		-1.2		0.0021		140.00		-93.3						
0.977		189.6		-0.531		1.3		0.0021		140.25		-100.7						
1.074		207.0		-0.521		1.3		0.0021		140.25		-107.8						
1.172		220.4		-0.508		-1.2		0.0021		140.00		-112.0						
1.270		234.8		-0.508		-2.5		0.0021		139.87		-119.3						
1.367		248.7		-0.493		-2.5		0.0037		140.10		-122.7						
1.465		264.3		-0.477		-1.2		0.0021		140.00		-126.0						
1.563		276.1		-0.464		-2.5		-0.0009		139.42		-128.1						
1.660		286.1		-0.458		-3.8		0.0037		139.98		-131.0						
1.758		300.0		-0.443		-1.2		0.0037		140.23		-132.9						
1.855		311.3		-0.449		-1.2		0.0006		139.77		-139.9						
1.953		322.6		-0.441		-3.8		-0.0009		139.29		-142.3						
2.051		337.4		-0.426		-5.1		0.0021		139.62		-143.8						
2.148		344.8		-0.386		-1.2		0.0021		140.00		-133.2						
2.246		356.5		-0.378		-1.2		-0.0009		139.54		-134.7						
2.344		367.0		-0.367		-1.2		0.0006		139.77		-134.8						
2.441		380.4		-0.365		-2.5		-0.0025		139.19		-139.0						
2.539		390.4		-0.346		-3.8		-0.0025		139.07		-135.3						
2.637		398.3		-0.325		-2.5		0.0006		139.65		-129.6						
2.734		409.6		-0.317		0.0		0.0006		139.90		-129.9						
2.832		420.0		-0.311		-2.5		-0.0025		139.19		-130.5						
2.930		426.1		-0.290		-6.3		-0.0025		138.82		-123.5						
3.027		440.4		-0.273		-2.5		-0.0009		139.42		-120.2						
3.125		450.9		-0.256		0.0		0.0006		139.90		-115.5						
3.223		461.7		-0.229		-3.8		-0.0025		139.07		-105.7						
3.320		470.0		-0.225		-3.8		0.0006		139.52		-105.6						
3.418		480.0		-0.191		-2.5		0.0006		139.65		-91.7						
3.516		492.2		-0.178		-1.2		-0.0009		139.54		-87.8						
3.613		499.6		-0.170		-3.8		-0.0025		139.07		-85.0						
3.711		508.3		-0.155		-2.5		-0.0009		139.42		-79.0						
3.809		518.7		-0.136		-1.2		0.0006		139.77		-70.8						
3.906		524.3		-0.107		-2.5		-0.0025		139.19		-56.2						
4.004		533.0		-0.080		-5.1		-0.0040		138.71		-42.5						
4.102		543.5		-0.063		-5.1		0.0006		139.40		-34.2						
4.199		553.0		-0.040		-1.2		-0.0009		139.54		-22.1						
4.297		552.6		-0.021		-2.5		-0.0009		139.42		-11.6						
4.395		554.8		0.013		-1.2		0.0021		140.00		7.0						
4.492		552.2		0.031		-2.5		0.0021		139.87		17.4						
4.590		559.6		0.057		-3.8		0.0021		139.75		31.7						
4.688		556.5		0.078		-2.5		0.0052		140.33		43.2						
4.785		557.4		0.097		0.0		0.0037		140.35		53.8						
4.883		558.3		0.105		-1.2		0.0021		140.00		58.6						
4.980		556.5		0.134		-6.3		0.0037		139.72		74.8						
5.078		554.8		0.149		-1.2		0.0037		140.23		82.7						
5.176		553.9		0.172		-2.5		0.0037		140.10		95.4						
5.273		550.9		0.189		-5.1		0.0021		139.62		104.1						
5.371		550.0		0.202		-3.8		0.0037		139.98		110.9						
5.469		546.1		0.227		-3.8		0.0037		139.98		123.8						
5.566		539.1		0.239		-1.2		0.0021		140.00		129.1						
5.664		538.7		0.275		-3.8		-0.0009		139.29		148.2						
5.762		531.7		0.286		-3.8		0.0037		139.98		151.8						
5.859		527.4		0.304		-1.2		0.0037		140.23		160.6						
5.957		519.1		0.323		0.0		0.0021		140.13		167.9						
6.055		509.6		0.319		-3.8		0.0006		139.52		162.6						
6.152		500.9		0.342		-5.1		0.0037		139.85		171.4						
6.250		490.0		0.355		3.9		0.0067		141.19		173.9						
6.348		484.3		0.361		0.0		0.0037		140.35		174.9						
6.445		477.4		0.374		0.0		0.0037		140.35		178.4						
6.543		470.4		0.401		0.0		0.0021		140.13		188.7						
6.641		459.6		0.414		-1.2		0.0021		140.00		190.1						
6.738		449.6		0.420		1.3		0.0067		140.94		188.8						
6.836		440.9		0.433		2.6		0.0052		140.83		190.7						
6.934		430.9		0.451		1.3		0.0037		140.48		194.5						
7.031		420.9		0.456		-5.1		0.0021		139.62		191.8						
7.129		409.6		0.462		1.3		0.0037		140.48		189.2						
7.227		401.3		0.479		1.3		0.0037		140.48		192.1						
7.324		394.8		0.491		1.3		0.0021		140.25		194.0						
7.422		380.9		0.485		0.0		0.0021		140.13		184.7						
7.520		375.2		0.517		1.3		0.0037		140.48		193.8						
7.617		362.2		0.533		1.3		0.0021		140.25		193.2						
7.715		356.1		0.533		-1.2		0.0006		139.77		189.9						
7.813		340.4		0.550		0.0		0.0006		139.90		187.3						
7.910		333.0		0.567		0.0		0.0021		140.13		188.8						
8.008		317.4		0.573		1.3		0.0006		140.02		181.9						
8.105		306.5		0.580		-1.2		-0.0009		139.54		177.6						
8.203		293.0		0.605		-2.5		0.0021		139.87		177.2						
8.301		276.5		0.609		2.6		0.0037		140.61		168.4						
8.398		264.3		0.615		9.0		0.0021		141.01		162.6						
8.496		243.5		0.634		2.6		0.0037		140.61		154.4						
8.594		229.1		0.628		1.3		-0.0009		139.79		143.9						
8.691		215.2		0.638		-1.2		0.0006		139.77		137.4						
8.789		199.6		0.634		-1.2		0.0037		140.23		126.5						
8.887		183.5		0.643		2.6		0.0021		140.38		117.9						
8.984		163.9		0.640		1.3		0.0021		140.25		105.0						
9.082		151.7		0.645		-3.8		0.0021		139.75		97.8						
9.180		132.2		0.643		0.0		0.0021		140.13		84.9						
9.277		117.8		0.645		1.3		0.0021		140.25		76.0						
9.375		107.4		0.626		-1.2		0.0006		139.77		67.2						
9.473		90.9		0.638		-2.5		-0.0009		139.42		58.0						
9.570		71.7		0.628		0.0		0.0021		140.13		45.0						
9.668		56.1		0.647		0.0		0.0006		139.90		36.3						
9.766		35.7		0.626		-1.2		-0.0009		139.54		22.3						
9.863		16.1		0.619		-1.2		-0.0009		139.54		10.0						
9.961		-4.3		0.626		0.0		0.0037		140.35		-2.7						
10.059		-21.7		0.611		1.3		-0.0009		139.79		-13.3						
