Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		3.0		-0.676		-0.4		0.0040		173.5		-2.1						
0.098		21.3		-0.682		-3.0		0.0025		172.9		-14.5						
0.195		37.8		-0.666		-1.7		0.0040		173.3		-25.2						
0.293		56.5		-0.655		-0.4		0.0040		173.5		-37.0						
0.391		75.7		-0.630		-0.4		0.0025		173.2		-47.7						
0.488		96.1		-0.634		-1.7		0.0010		172.9		-60.9						
0.586		116.1		-0.622		-3.0		0.0025		172.9		-72.2						
0.684		133.5		-0.613		-1.7		0.0056		173.5		-81.8						
0.781		148.7		-0.590		0.8		0.0025		173.4		-87.7						
0.879		167.0		-0.590		-3.0		-0.0006		172.5		-98.5						
0.977		183.5		-0.582		-5.5		0.0025		172.6		-106.7						
1.074		200.4		-0.561		-0.4		0.0040		173.5		-112.4						
1.172		213.0		-0.550		-0.4		0.0040		173.5		-117.2						
1.270		227.8		-0.527		-1.7		0.0040		173.3		-120.1						
1.367		243.0		-0.510		-0.4		0.0040		173.5		-124.0						
1.465		258.7		-0.502		-3.0		0.0010		172.7		-129.8						
1.563		272.2		-0.491		-1.7		0.0040		173.3		-133.7						
1.660		283.5		-0.485		-0.4		0.0056		173.7		-137.5						
1.758		297.4		-0.470		0.8		0.0040		173.6		-139.9						
1.855		310.4		-0.447		-3.0		0.0025		172.9		-138.8						
1.953		319.1		-0.445		3.4		0.0040		173.9		-142.1						
2.051		331.3		-0.416		-0.4		0.0040		173.5		-137.7						
2.148		340.4		-0.414		-1.7		0.0010		172.9		-140.8						
2.246		351.3		-0.395		-3.0		0.0025		172.9		-138.7						
2.344		361.3		-0.367		-1.7		0.0025		173.1		-132.8						
2.441		374.3		-0.365		-0.4		0.0040		173.5		-136.8						
2.539		383.0		-0.328		-3.0		0.0010		172.7		-125.5						
2.637		391.7		-0.323		-3.0		0.0025		172.9		-126.7						
2.734		404.8		-0.304		-3.0		0.0040		173.2		-123.2						
2.832		415.2		-0.283		-0.4		0.0040		173.5		-117.7						
2.930		425.7		-0.277		-3.0		-0.0006		172.5		-118.0						
3.027		437.8		-0.254		-5.5		0.0025		172.6		-111.2						
3.125		449.6		-0.246		-1.7		0.0040		173.3		-110.4						
3.223		457.0		-0.202		3.4		0.0025		173.7		-92.1						
3.320		469.6		-0.187		-0.4		0.0040		173.5		-87.8						
3.418		480.4		-0.168		-0.4		0.0040		173.5		-80.7						
3.516		486.1		-0.141		-1.7		0.0025		173.1		-68.4						
3.613		499.1		-0.130		-4.3		0.0025		172.8		-65.0						
3.711		502.2		-0.105		-1.7		0.0056		173.5		-52.7						
3.809		512.2		-0.082		0.8		0.0025		173.4		-41.9						
3.906		520.9		-0.065		-1.7		-0.0006		172.6		-33.9						
4.004		532.6		-0.040		-5.5		0.0025		172.6		-21.2						
4.102		539.6		-0.010		-0.4		0.0071		173.9		-5.7						
4.199		543.9		0.017		-1.7		0.0056		173.5		9.1						
4.297		551.7		0.036		-1.7		0.0071		173.8		19.7						
4.395		556.5		0.069		-1.7		0.0071		173.8		38.6						
4.492		556.1		0.101		-1.7		0.0071		173.8		56.0						
4.590		555.7		0.118		-1.7		0.0056		173.5		65.3						
4.688		559.1		0.132		2.1		0.0056		174.0		74.0						
4.785		555.2		0.162		3.4		0.0086		174.6		89.8						
4.883		557.8		0.193		4.7		0.0071		174.6		107.8						
4.980		557.4		0.210		3.4		0.0040		173.9		117.0						
5.078		557.4		0.233		-0.4		0.0040		173.5		129.9						
5.176		557.0		0.246		3.4		0.0071		174.4		136.8						
5.273		553.5		0.281		9.8		0.0056		175.0		155.7						
5.371		549.6		0.290		4.7		0.0086		174.8		159.2						
5.469		546.1		0.323		5.9		0.0086		174.9		176.6						
5.566		540.4		0.338		3.4		0.0056		174.2		182.7						
5.664		534.8		0.355		2.1		0.0056		174.0		189.8						
5.762		531.3		0.372		4.7		0.0086		174.8		197.5						
5.859		527.8		0.397		8.5		0.0071		175.0		209.5						
5.957		523.0		0.414		2.1		-0.0006		173.1		216.4						
6.055		513.5		0.437		0.8		0.0056		173.9		224.3						
6.152		503.0		0.445		5.9		0.0056		174.5		223.9						
6.250		498.3		0.458		3.4		0.0040		173.9		228.1						
6.348		487.0		0.479		2.1		0.0040		173.8		233.1						
6.445		477.8		0.472		2.1		0.0056		174.0		225.7						
6.543		469.6		0.498		3.4		0.0056		174.2		233.7						
6.641		461.3		0.487		3.4		0.0040		173.9		224.7						
6.738		452.2		0.508		2.1		0.0056		174.0		229.8						
6.836		445.7		0.527		3.4		0.0071		174.4		234.9						
6.934		433.0		0.546		5.9		0.0071		174.7		236.4						
7.031		422.6		0.559		4.7		0.0025		173.9		236.0						
7.129		415.2		0.569		0.8		0.0056		173.9		236.3						
7.227		403.9		0.577		4.7		0.0071		174.6		233.2						
7.324		394.3		0.594		5.9		0.0056		174.5		234.3						
7.422		384.8		0.603		3.4		0.0071		174.4		231.9						
7.520		378.3		0.617		4.7		0.0056		174.3		233.5						
7.617		367.8		0.609		4.7		0.0040		174.1		224.0						
7.715		358.3		0.638		2.1		0.0040		173.8		228.7						
7.813		345.7		0.643		3.4		0.0086		174.6		222.1						
7.910		337.0		0.668		7.2		0.0056		174.6		225.0						
8.008		320.0		0.680		3.4		0.0010		173.5		217.7						
8.105		310.4		0.676		2.1		0.0071		174.2		209.9						
8.203		294.8		0.701		4.7		0.0056		174.3		206.7						
8.301		284.8		0.712		3.4		0.0040		173.9		202.7						
8.398		269.1		0.722		4.7		0.0056		174.3		194.4						
8.496		252.2		0.722		3.4		0.0056		174.2		182.1						
8.594		237.4		0.727		4.7		0.0056		174.3		172.5						
8.691		221.3		0.722		3.4		0.0056		174.2		159.9						
8.789		205.2		0.729		2.1		0.0040		173.8		149.5						
8.887		187.8		0.733		3.4		0.0071		174.4		137.6						
8.984		172.6		0.735		4.7		0.0071		174.6		126.9						
9.082		154.8		0.722		3.4		0.0040		173.9		111.8						
9.180		140.0		0.724		0.8		0.0010		173.2		101.4						
9.277		125.7		0.718		3.4		0.0056		174.2		90.2						
9.375		111.7		0.720		8.5		0.0040		174.6		80.5						
9.473		97.4		0.710		2.1		0.0071		174.2		69.1						
9.570		78.7		0.706		5.9		0.0056		174.5		55.5						
9.668		60.9		0.695		3.4		0.0040		173.9		42.3						
9.766		38.3		0.703		0.8		0.0025		173.4		26.9						
9.863		23.9		0.687		3.4		0.0056		174.2		16.4						
9.961		2.2		0.680		5.9		0.0056		174.5		1.5						
10.059		-17.8		0.678		2.1		-0.0006		173.1		-12.1						
10.156		-37.4		0.661		3.4		0.0056		174.2		-24.7						
