Time ,E1,I1,AI8,AI7,Pm,P1,Type
48.633,195.2,0.664,1.3,0.0015,148.89,129.5,NOM
48.73,177,0.657,2.6,-0.0001,148.8,116.3,NOM
48.828,163.5,0.668,0,-0.0001,148.53,109.2,NOM
48.926,147,0.678,0,-0.0001,148.53,99.7,NOM
49.023,130.9,0.672,2.6,0.003,149.25,87.9,NOM
49.121,117.4,0.674,1.3,-0.0016,148.44,79.1,NOM
49.219,101.7,0.664,2.6,0.003,149.25,67.5,NOM
49.316,85.2,0.664,1.3,0.0015,148.89,56.5,NOM
49.414,66.1,0.659,1.3,-0.0016,148.44,43.6,NOM
49.512,48.3,0.64,1.3,-0.0001,148.66,30.9,NOM
49.609,30,0.649,0,-0.0001,148.53,19.5,NOM
49.707,8.3,0.649,0,-0.0001,148.53,5.4,NOM
49.805,-8.7,0.617,2.6,-0.0001,148.8,-5.4,NOM
49.902,-28.3,0.622,2.6,-0.0001,148.8,-17.6,NOM
