Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
9.570		73.9		0.004		16.7		0.0063		164.0		0.3						
9.668		50.4		0.006		12.9		0.0063		163.5		0.3						
9.766		32.2		0.000		16.7		0.0155		165.3		0.0						
9.863		14.3		0.004		16.7		0.0079		164.2		0.1						
9.961		-3.9		0.013		15.5		0.0094		164.3		0.0						
10.059		-26.1		-0.010		16.7		0.0094		164.4		0.3						
10.156		-46.5		-0.004		12.9		0.0063		163.5		0.2						
10.254		-64.3		-0.002		15.5		0.0094		164.3		0.1						
10.352		-85.2		-0.004		18.0		0.0125		165.0		0.4						
10.449		-103.9		0.000		18.0		0.0079		164.4		0.0						
10.547		-121.3		0.004		15.5		0.0063		163.8		-0.5						
10.645		-139.1		-0.002		16.7		0.0094		164.4		0.3						
10.742		-159.6		0.006		15.5		0.0079		164.1		-1.0						
10.840		-177.0		-0.008		16.7		0.0063		164.0		1.5						
10.938		-187.4		0.000		15.5		0.0094		164.3		0.0						
11.035		-203.9		-0.010		16.7		0.0094		164.4		2.1						
11.133		-218.3		0.006		16.7		0.0094		164.4		-1.4						
11.230		-230.9		0.013		15.5		0.0063		163.8		-2.9						
11.328		-243.5		-0.010		14.2		0.0079		163.9		2.6						
11.426		-260.0		0.000		15.5		0.0125		164.7		0.0						
11.523		-275.2		-0.004		18.0		0.0094		164.6		1.2						
11.621		-287.8		-0.006		14.2		0.0048		163.5		1.8						
11.719		-300.9		-0.008		12.9		0.0094		164.0		2.5						
11.816		-312.2		-0.004		16.7		0.0109		164.7		1.3						
11.914		-323.5		-0.013		16.7		0.0094		164.4		4.1						
12.012		-333.5		0.006		14.2		0.0094		164.1		-2.1						
12.109		-345.7		-0.010		16.7		0.0094		164.4		3.6						
12.207		-355.2		0.000		15.5		0.0079		164.1		0.0						
12.305		-371.3		0.004		15.5		0.0094		164.3		-1.6						
12.402		-377.8		0.002		16.7		0.0125		164.9		-0.8						
12.500		-388.3		-0.015		16.7		0.0079		164.2		5.7						
12.598		-396.5		-0.006		14.2		0.0094		164.1		2.5						
12.695		-409.6		0.002		4.0		0.0109		163.2		-0.9						
12.793		-417.4		-0.004		4.0		0.0079		162.7		1.8						
12.891		-430.4		0.004		4.0		0.0079		162.7		-1.8						
12.988		-439.1		-0.004		2.7		0.0079		162.6		1.8						
13.086		-453.5		0.002		4.0		0.0109		163.2		-1.0						
13.184		-458.7		0.004		5.3		0.0109		163.3		-1.9						
13.281		-471.3		-0.006		4.0		0.0094		162.9		3.0						
13.379		-480.0		0.004		1.4		0.0079		162.4		-2.0						
13.477		-489.6		0.008		2.7		0.0125		163.2		-4.1						
13.574		-499.1		-0.013		6.5		0.0094		163.2		6.3						
13.672		-508.7		-0.002		4.0		0.0079		162.7		1.1						
13.770		-521.7		0.008		0.2		0.0094		162.5		-4.4						
13.867		-527.0		0.000		2.7		0.0109		163.0		0.0						
13.965		-537.4		0.002		5.3		0.0079		162.9		-1.1						
14.063		-545.2		-0.006		2.7		0.0079		162.6		3.4						
14.160		-548.7		0.000		4.0		0.0094		162.9		0.0						
14.258		-555.7		0.002		2.7		0.0079		162.6		-1.2						
14.355		-561.3		0.004		1.4		0.0094		162.6		-2.4						
14.453		-558.7		0.000		2.7		0.0125		163.2		0.0						
14.551		-557.0		-0.004		5.3		0.0094		163.1		2.3						
