Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
10.254		-67.0		0.603		5.1		0.0061		149.98		-40.3						
10.352		-85.2		0.590		5.1		0.0061		149.98		-50.3						
10.449		-103.5		0.575		3.9		0.0045		149.62		-59.5						
10.547		-121.3		0.577		5.1		0.0030		149.52		-70.0						
10.645		-139.1		0.569		5.1		0.0045		149.75		-79.2						
10.742		-154.8		0.559		5.1		0.0030		149.52		-86.5						
10.840		-173.5		0.548		5.1		0.0030		149.52		-95.1						
10.938		-191.7		0.546		2.6		0.0015		149.03		-104.7						
11.035		-204.3		0.527		5.1		0.0045		149.75		-107.7						
11.133		-217.8		0.519		6.4		0.0030		149.66		-113.0						
11.230		-233.0		0.510		5.1		-0.0001		149.07		-118.9						
11.328		-247.8		0.496		1.3		0.0015		148.89		-122.8						
11.426		-260.9		0.483		3.9		0.0015		149.16		-126.0						
11.523		-273.5		0.470		11.5		0.0045		150.42		-128.6						
11.621		-289.6		0.468		5.1		0.0045		149.75		-135.6						
11.719		-302.6		0.458		3.9		0.0030		149.39		-138.5						
11.816		-312.2		0.430		3.9		0.0015		149.16		-134.4						
11.914		-325.7		0.424		2.6		0.0030		149.25		-138.1						
12.012		-337.8		0.414		6.4		0.0076		150.34		-139.7						
12.109		-346.1		0.401		7.7		0.0030		149.79		-138.8						
12.207		-359.1		0.378		3.9		0.0030		149.39		-135.7						
12.305		-369.1		0.361		5.1		0.0045		149.75		-133.3						
12.402		-380.0		0.346		5.1		0.0030		149.52		-131.7						
12.500		-389.1		0.342		5.1		0.0030		149.52		-133.2						
12.598		-400.9		0.330		3.9		0.0030		149.39		-132.2						
12.695		-410.4		0.321		5.1		0.0045		149.75		-131.9						
12.793		-417.8		0.288		5.1		0.0030		149.52		-120.2						
12.891		-433.5		0.283		5.1		0.0015		149.29		-122.9						
12.988		-441.7		0.267		3.9		0.0015		149.16		-117.8						
13.086		-453.5		0.244		3.9		0.0030		149.39		-110.5						
13.184		-464.8		0.235		6.4		0.0045		149.89		-109.3						
13.281		-473.9		0.202		5.1		0.0015		149.29		-95.5						
13.379		-481.3		0.189		2.6		0.0015		149.03		-91.0						
13.477		-488.7		0.172		5.1		0.0015		149.29		-84.1						
13.574		-502.6		0.153		11.5		0.0030		150.19		-77.0						
13.672		-510.4		0.136		5.1		0.0061		149.98		-69.7						
13.770		-516.5		0.111		5.1		0.0030		149.52		-57.5						
13.867		-529.1		0.101		5.1		0.0015		149.29		-53.3						
13.965		-541.3		0.065		3.9		0.0030		149.39		-35.2						
14.063		-544.3		0.050		5.1		0.0061		149.98		-27.4						
14.160		-550.0		0.029		7.7		0.0030		149.79		-16.2						
14.258		-558.3		0.002		3.9		0.0015		149.16		-1.2						
14.355		-557.0		-0.031		5.1		0.0015		149.29		17.5						
14.453		-555.7		-0.063		5.1		-0.0001		149.07		35.0						
14.551		-557.8		-0.071		3.9		-0.0031		148.47		39.8						
14.648		-556.1		-0.097		2.6		-0.0016		148.57		53.7						
14.746		-563.5		-0.111		5.1		0.0015		149.29		62.7						
14.844		-559.1		-0.147		3.9		-0.0001		148.93		82.2						
14.941		-559.6		-0.149		3.9		-0.0001		148.93		83.4						
15.039		-557.8		-0.178		3.9		-0.0016		148.70		99.6						
15.137		-554.8		-0.191		5.1		0.0015		149.29		106.0						
15.234		-556.1		-0.210		6.4		0.0030		149.66		116.8						
15.332		-549.6		-0.239		6.4		-0.0016		148.97		131.5						
15.430		-547.8		-0.252		1.3		-0.0016		148.44		138.0						
15.527		-543.5		-0.279		3.9		-0.0001		148.93		151.8						
15.625		-539.6		-0.292		11.5		-0.0001		149.73		157.5						
15.723		-536.1		-0.313		5.1		-0.0001		149.07		167.7						
15.820		-527.0		-0.332		5.1		0.0030		149.52		174.8						
