Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
35.938		-467.4		-1.694		1.0		0.0031		15.0		792.0						
36.035		-457.4		-1.747		3.6		0.0046		15.7		799.1						
36.133		-450.0		-1.797		1.0		0.0031		15.0		808.8						
36.230		-445.2		-1.856		1.0		0.0015		15.0		826.4						
36.328		-442.2		-1.898		1.0		0.0046		15.0		839.3						
36.426		-429.6		-1.965		4.8		0.0046		16.1		844.2						
36.523		-420.9		-1.997		2.3		-0.0046		15.3		840.4						
36.621		-414.3		-2.045		-1.5		-0.0061		14.3		847.4						
36.719		-407.4		-2.112		-5.4		-0.0230		13.2		860.5						
36.816		-399.1		-2.140		-22.0		0.0031		8.9		854.0						
36.914		-389.1		-2.194		2.3		0.0031		15.4		853.8						
37.012		-380.0		-2.230		2.3		0.0015		15.3		847.4						
37.109		-372.6		-2.274		2.3		0.0015		15.3		847.3						
37.207		-364.8		-2.299		2.3		0.0031		15.4		838.7						
37.305		-355.7		-2.320		2.3		0.0046		15.4		825.2						
37.402		-348.7		-2.383		2.3		0.0015		15.3		831.0						
37.500		-338.7		-2.396		2.3		0.0000		15.3		811.4						
37.598		-329.1		-2.434		1.0		0.0046		15.0		801.0						
37.695		-322.2		-2.473		3.6		0.0061		15.7		796.9						
37.793		-313.5		-2.492		3.6		0.0015		15.7		781.3						
37.891		-304.8		-2.524		-4.1		0.0000		13.6		769.2						
37.988		-292.2		-2.564		2.3		0.0031		15.4		749.1						
38.086		-284.3		-2.578		2.3		0.0031		15.4		733.2						
38.184		-274.3		-2.602		2.3		0.0015		15.3		713.7						
38.281		-259.6		-2.637		3.6		0.0046		15.7		684.5						
38.379		-249.6		-2.629		3.6		0.0061		15.7		656.1						
38.477		-233.9		-2.646		4.8		0.0031		16.0		618.9						
38.574		-222.2		-2.650		6.1		-0.0015		16.4		588.7						
38.672		-206.5		-2.656		-1.5		-0.0061		14.3		548.6						
38.770		-192.6		-2.656		-4.1		-0.0215		13.5		511.6						
38.867		-180.0		-2.669		-22.0		0.0015		8.9		480.4						
38.965		-164.8		-2.644		3.6		0.0015		15.7		435.6						
39.063		-151.3		-2.631		2.3		0.0031		15.4		398.1						
39.160		-136.1		-2.610		1.0		0.0015		15.0		355.2						
39.258		-120.9		-2.616		1.0		0.0031		15.0		316.2						
39.355		-112.2		-2.570		1.0		0.0046		15.0		288.3						
39.453		-99.1		-2.581		1.0		0.0015		15.0		255.8						
39.551		-87.0		-2.547		1.0		0.0015		15.0		221.5						
39.648		-73.0		-2.509		-0.3		0.0031		14.7		183.3						
39.746		-52.2		-2.503		2.3		0.0046		15.4		130.6						
39.844		-37.4		-2.469		4.8		0.0000		16.0		92.3						
39.941		-17.8		-2.440		-2.8		-0.0015		14.0		43.5						
40.039		-0.9		-2.396		1.0		0.0031		15.0		2.1						
40.137		16.5		-2.371		2.3		0.0031		15.4		-39.2						
40.234		33.9		-2.316		1.0		0.0000		15.0		-78.5						
40.332		49.6		-2.282		-0.3		0.0000		14.7		-113.1						
40.430		67.0		-2.224		-0.3		0.0015		14.7		-148.9						
40.527		84.3		-2.198		2.3		0.0046		15.4		-185.4						
40.625		99.6		-2.121		2.3		0.0000		15.3		-211.2						
40.723		116.5		-2.083		-1.5		-0.0015		14.3		-242.7						
40.820		133.9		-2.037		1.0		0.0046		15.0		-272.7						
40.918		143.9		-1.986		2.3		0.0015		15.3		-285.9						
41.016		161.7		-1.932		-0.3		0.0031		14.7		-312.4						
41.113		173.5		-1.862		1.0		0.0015		15.0		-323.1						
41.211		185.7		-1.810		1.0		0.0031		15.0		-336.0						
41.309		199.6		-1.743		1.0		0.0015		15.0		-347.8						
41.406		212.6		-1.682		2.3		0.0031		15.4		-357.6						
41.504		226.5		-1.640		2.3		0.0000		15.3		-371.5						
41.602		238.3		-1.577		-1.5		0.0000		14.3		-375.7						
41.699		245.7		-1.512		-0.3		0.0031		14.7		-371.4						
41.797		258.3		-1.459		2.3		0.0031		15.4		-376.9						
41.895		268.3		-1.415		2.3		0.0000		15.3		-379.6						
41.992		285.2		-1.346		-0.3		-0.0015		14.6		-383.9						
42.090		294.8		-1.298		1.0		0.0000		15.0		-382.5						
42.188		304.3		-1.228		2.3		0.0015		15.3		-373.8						
42.285		310.9		-1.155		1.0		0.0015		15.0		-359.0						
42.383		317.4		-1.098		-0.3		0.0000		14.7		-348.5						
42.480		327.8		-1.010		-0.3		0.0015		14.7		-331.1						
42.578		337.8		-0.955		2.3		0.0015		15.3		-322.8						
42.676		345.2		-0.873		2.3		-0.0031		15.3		-301.5						
42.773		356.1		-0.792		-0.3		-0.0046		14.6		-281.9						
42.871		366.1		-0.722		1.0		0.0015		15.0		-264.4						
42.969		375.2		-0.643		-2.8		0.0000		14.0		-241.1						
43.066		384.8		-0.580		2.3		0.0000		15.3		-223.0						
43.164		393.9		-0.500		1.0		-0.0015		15.0		-196.9						
43.262		400.4		-0.424		1.0		-0.0015		15.0		-169.8						
43.359		409.1		-0.330		1.0		0.0015		15.0		-134.9						
43.457		418.3		-0.260		1.0		0.0015		15.0		-108.9						
43.555		428.3		-0.160		2.3		0.0015		15.3		-68.3						
43.652		435.2		-0.084		-0.3		-0.0015		14.6		-36.6						
43.750		443.9		0.000		-0.3		0.0046		14.7		0.0						
43.848		453.5		0.080		2.3		0.0077		15.4		36.2						
43.945		459.1		0.170		3.6		0.0031		15.7		78.1						
44.043		469.6		0.273		-0.3		-0.0015		14.6		128.2						
44.141		475.7		0.355		-9.2		0.0046		12.3		168.8						
44.238		479.6		0.443		2.3		0.0046		15.4		212.5						
44.336		488.7		0.529		2.3		0.0015		15.3		258.6						
44.434		491.3		0.603		-0.3		0.0015		14.7		296.1						
44.531		493.5		0.693		1.0		0.0046		15.0		341.9						
44.629		493.5		0.781		3.6		0.0061		15.7		385.5						
44.727		492.2		0.859		2.3		0.0015		15.3		422.7						
44.824		491.7		0.932		-0.3		0.0000		14.7		458.4						
44.922		491.3		1.006		-1.5		-0.0031		14.3		494.1						
45.020		493.0		1.073		-23.2		0.0061		8.5		529.0						
