Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
35.840		-273.0		-0.645		3.5		-0.0007		79.6		176.0						
35.938		-268.3		-0.670		2.2		-0.0023		79.3		179.7						
36.035		-267.4		-0.687		2.2		-0.0007		79.5		183.6						
36.133		-260.9		-0.714		4.8		0.0008		79.9		186.2						
36.230		-257.8		-0.733		4.8		-0.0023		79.6		188.9						
36.328		-253.5		-0.743		-1.6		-0.0069		78.6		188.4						
36.426		-247.4		-0.758		-0.3		0.0008		79.4		187.5						
36.523		-244.8		-0.781		2.2		-0.0038		79.2		191.2						
36.621		-237.8		-0.792		1.0		-0.0007		79.4		188.3						
36.719		-233.5		-0.815		1.0		0.0008		79.5		190.2						
36.816		-227.0		-0.831		2.2		-0.0007		79.5		188.7						
36.914		-220.9		-0.861		1.0		-0.0007		79.4		190.1						
37.012		-218.3		-0.852		1.0		-0.0007		79.4		186.1						
37.109		-210.4		-0.869		2.2		0.0023		79.8		182.9						
37.207		-203.9		-0.888		4.8		0.0008		79.9		181.1						
37.305		-200.9		-0.905		1.0		-0.0053		78.9		181.8						
37.402		-197.8		-0.909		-0.3		-0.0007		79.3		179.9						
37.500		-191.3		-0.920		2.2		-0.0007		79.5		175.9						
37.598		-187.4		-0.947		1.0		-0.0007		79.4		177.5						
37.695		-179.6		-0.951		1.0		0.0008		79.5		170.8						
37.793		-173.9		-0.966		1.0		-0.0007		79.4		168.0						
37.891		-168.3		-0.960		2.2		-0.0023		79.3		161.5						
37.988		-157.8		-0.968		-1.6		-0.0023		79.0		152.8						
38.086		-152.6		-0.974		2.2		0.0023		79.8		148.7						
38.184		-146.1		-0.978		3.5		0.0023		79.9		142.9						
38.281		-136.5		-0.987		2.2		-0.0023		79.3		134.7						
38.379		-131.7		-0.991		-0.3		-0.0038		79.0		130.6						
38.477		-120.4		-0.991		1.0		0.0023		79.7		119.4						
38.574		-113.5		-0.993		2.2		-0.0038		79.2		112.7						
38.672		-107.0		-0.995		1.0		0.0008		79.5		106.5						
38.770		-95.2		-0.985		1.0		-0.0007		79.4		93.8						
38.867		-88.3		-0.974		1.0		-0.0007		79.4		86.0						
38.965		-81.7		-0.976		1.0		-0.0023		79.2		79.8						
39.063		-70.0		-0.955		-1.6		-0.0007		79.2		66.9						
39.160		-63.9		-0.960		1.0		0.0008		79.5		61.3						
39.258		-57.8		-0.953		2.2		-0.0007		79.5		55.1						
39.355		-49.1		-0.949		1.0		-0.0023		79.2		46.6						
39.453		-37.8		-0.928		-1.6		-0.0007		79.2		35.1						
39.551		-29.1		-0.926		2.2		-0.0023		79.3		27.0						
39.648		-17.8		-0.913		-0.3		-0.0007		79.3		16.3						
39.746		-9.1		-0.899		-0.3		-0.0023		79.1		8.2						
39.844		1.7		-0.880		2.2		-0.0007		79.5		-1.5						
39.941		12.2		-0.871		1.0		-0.0038		79.1		-10.6						
40.039		22.2		-0.836		-0.3		-0.0038		79.0		-18.5						
40.137		32.6		-0.829		-0.3		-0.0023		79.1		-27.0						
40.234		42.2		-0.813		2.2		0.0008		79.7		-34.3						
40.332		53.0		-0.796		1.0		-0.0023		79.2		-42.2						
40.430		61.7		-0.779		-2.9		-0.0053		78.6		-48.1						
40.527		70.4		-0.752		-1.6		0.0008		79.3		-52.9						
40.625		81.3		-0.743		1.0		-0.0115		78.3		-60.4						
40.723		90.9		-0.720		-0.3		-0.0023		79.1		-65.4						
40.820		99.1		-0.701		1.0		-0.0007		79.4		-69.5						
40.918		104.8		-0.680		2.2		-0.0007		79.5		-71.3						
41.016		115.7		-0.657		1.0		-0.0038		79.1		-76.0						
41.113		122.2		-0.640		-0.3		-0.0023		79.1		-78.2						
41.211		129.1		-0.622		1.0		-0.0007		79.4		-80.3						
41.309		137.8		-0.601		1.0		-0.0007		79.4		-82.8						
41.406		143.5		-0.565		2.2		-0.0007		79.5		-81.0						
41.504		150.9		-0.556		-1.6		-0.0007		79.2		-83.9						
41.602		158.7		-0.544		-0.3		-0.0023		79.1		-86.3						
41.699		163.0		-0.508		-0.3		-0.0038		79.0		-82.8						
