Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
48.242		211.3		0.401		0.0		0.0002		188.6		84.7						
48.340		195.2		0.391		-1.3		-0.0013		189.0		76.2						
48.438		180.4		0.365		0.0		0.0017		188.4		65.9						
48.535		164.8		0.349		-1.3		0.0002		188.8		57.4						
48.633		152.2		0.323		-1.3		-0.0013		189.0		49.2						
48.730		137.8		0.315		-1.3		0.0002		188.8		43.4						
48.828		127.0		0.283		-1.3		-0.0013		189.0		36.0						
48.926		113.0		0.250		-1.3		-0.0013		189.0		28.2						
49.023		97.4		0.231		-3.9		-0.0029		189.5		22.5						
49.121		85.7		0.212		-3.9		0.0017		188.9		18.2						
49.219		67.4		0.195		0.0		0.0033		188.1		13.2						
49.316		50.4		0.172		-1.3		0.0002		188.8		8.7						
49.414		30.9		0.160		-2.6		0.0033		188.5		4.9						
49.512		12.2		0.118		0.0		0.0017		188.4		1.4						
49.609		-1.3		0.107		-3.9		0.0002		189.1		-0.1						
49.707		-19.1		0.078		-3.9		0.0002		189.1		-1.5						
49.805		-38.3		0.050		1.2		0.0033		188.0		-1.9						
49.902		-54.3		0.023		0.0		0.0017		188.4		-1.3						
