Time ,E1,I1,AI8,AI7,Pm,P1
25.293,488.3,1.272,1,0.0031,15,621.3
25.391,487.4,1.348,3.6,0.0015,15.7,657
25.488,486.1,1.415,2.3,-0.0123,15.3,687.9
25.586,481.3,1.487,1,-0.0015,15,715.5
25.684,476.5,1.537,1,-0.0015,15,732.4
25.781,470.4,1.596,2.3,0,15.3,750.7
25.879,466.5,1.68,2.3,-0.0015,15.3,783.7
25.977,458.3,1.732,-0.3,-0.0015,14.6,793.8
26.074,455.2,1.785,1,0,15,812.5
26.172,446.1,1.846,3.6,0,15.7,823.3
26.27,440,1.902,2.3,-0.0046,15.3,837
26.367,432.6,1.932,-2.8,-0.0092,13.9,835.7
26.465,421.3,1.993,-4.1,-0.0307,13.5,839.5
26.563,416.1,2.043,-38.6,0.0046,4.4,850.1
26.66,411.3,2.108,2.3,0.0031,15.4,867.1
26.758,400.9,2.138,1,0.0061,15,856.9
26.855,393.5,2.18,2.3,0.0015,15.3,857.6
26.953,383.9,2.219,2.3,0.0015,15.3,852.1
27.051,374.8,2.268,2.3,0.0046,15.4,849.9
27.148,366.5,2.282,2.3,0.0031,15.4,836.6
27.246,358.3,2.324,1,0.0031,15,832.7
27.344,350.4,2.377,1,0.0046,15,832.9
27.441,340.9,2.392,4.8,0.0061,16.1,815.2
27.539,330.9,2.436,3.6,0,15.7,805.9
27.637,326.1,2.463,2.3,0.0046,15.4,803.1
27.734,316.5,2.503,2.3,0.0046,15.4,792.2
27.832,308.3,2.522,3.6,0.0046,15.7,777.4
27.93,298.7,2.557,2.3,0.0015,15.3,763.9
28.027,286.1,2.585,1,0.0031,15,739.5
28.125,276.5,2.604,2.3,0.0046,15.4,720
28.223,266.5,2.637,3.6,0.0046,15.7,702.9
28.32,251.3,2.631,2.3,-0.0015,15.3,661.2
28.418,242.2,2.652,-1.5,-0.0046,14.3,642.2
28.516,226.1,2.66,-5.4,-0.0307,13.1,601.5
28.613,212.6,2.654,-29.6,0.0046,6.8,564.3
28.711,199.1,2.66,2.3,0.0046,15.4,529.8
28.809,184.8,2.667,2.3,0.0046,15.4,492.8
28.906,171.3,2.652,2.3,0.0015,15.3,454.3
29.004,156.5,2.631,-0.3,0.0031,14.7,411.8
29.102,140.9,2.62,2.3,0.0046,15.4,369.1
29.199,128.3,2.608,2.3,0.0031,15.4,334.5
29.297,112.2,2.589,1,0.0031,15,290.4
29.395,99.6,2.576,-0.3,0.0061,14.7,256.5
29.492,88.3,2.543,3.6,0.0061,15.7,224.4
29.59,71.3,2.53,2.3,0,15.3,180.4
29.688,57.4,2.509,2.3,0.0077,15.4,144
29.785,40,2.469,1,0.0031,15,98.8
29.883,26.5,2.438,2.3,0.0046,15.4,64.7
29.98,8.7,2.413,1,0.0015,15,21
30.078,-8.7,2.369,1,0.0031,15,-20.6
30.176,-24.8,2.32,2.3,0.0061,15.4,-57.5
30.273,-45.2,2.295,3.6,0.0046,15.7,-103.8
30.371,-61.3,2.234,1,0.0015,15,-137
30.469,-77,2.194,-1.5,0.0031,14.3,-168.9
30.566,-97,2.175,-0.3,0.0015,14.7,-210.9
30.664,-110,2.096,-9.2,0.0031,12.3,-230.5
30.762,-125.7,2.051,1,0.0031,15,-257.8
30.859,-142.6,1.997,2.3,0.0046,15.4,-284.8
30.957,-153.5,1.938,2.3,0.0031,15.4,-297.4
31.055,-170.4,1.873,1,0.0031,15,-319.2
31.152,-183,1.818,2.3,0.0046,15.4,-332.8
31.25,-193.9,1.762,-0.3,0.0031,14.7,-341.6
31.348,-209.1,1.703,1,0.0046,15,-356.1
31.445,-221.3,1.644,1,0.0061,15,-363.8
31.543,-233,1.579,2.3,0.0061,15.4,-368
31.641,-244.8,1.529,2.3,0.0015,15.3,-374.2
31.738,-255.7,1.468,1,-0.0015,15,-375.2
31.836,-265.7,1.407,1,0.0046,15,-373.7
31.934,-274.8,1.369,1,0.0031,15,-376.2
32.031,-290,1.317,-0.3,0.0015,14.7,-381.8
32.129,-300.9,1.247,-0.3,0.0031,14.7,-375.3
32.227,-306.5,1.176,2.3,0.0061,15.4,-360.4
32.324,-317,1.115,3.6,0.0046,15.7,-353.4
32.422,-325.7,1.041,2.3,0,15.3,-339.2
32.52,-334.8,0.966,-1.5,0.0031,14.3,-323.4
32.617,-342.2,0.962,1,0.0031,15,-329.1
32.715,-356.5,0.821,1,0.0046,15,-292.7
32.813,-363.5,0.743,2.3,0.0061,15.4,-270.2
32.91,-371.7,0.672,1,0.0046,15,-249.8
33.008,-380.4,0.577,2.3,0.0046,15.4,-219.7
33.105,-388.7,0.498,-0.3,0.0046,14.7,-193.4
33.203,-397,0.418,2.3,0.0061,15.4,-165.9
33.301,-406.1,0.351,1,0.0046,15,-142.4
33.398,-414.3,0.273,-1.5,0.0031,14.3,-113.1
33.496,-425.2,0.176,-0.3,0.0077,14.7,-75
33.594,-435.7,0.097,3.6,0.0092,15.7,-42.1
33.691,-445.2,0.013,2.3,0.0031,15.4,-5.6
33.789,-450,-0.073,1,0,15,33.1
33.887,-457.4,-0.16,-0.3,0.0015,14.7,73
33.984,-463.5,-0.252,1,0.0015,15,116.8
34.082,-473.5,-0.325,2.3,0.0015,15.3,154.1
34.18,-477.8,-0.422,-0.3,0.0015,14.7,201.7
34.277,-486.5,-0.51,1,0.0031,15,248.2
34.375,-490,-0.596,2.3,0.0015,15.3,292.2
34.473,-492.2,-0.674,2.3,0,15.3,331.7
34.57,-491.3,-0.762,-1.5,0,14.3,374.5
34.668,-492.2,-0.838,-6.7,-0.0153,12.9,412.3
34.766,-492.2,-0.92,-34.7,0.0031,5.5,452.6
34.863,-492.2,-1.002,2.3,0.0031,15.4,492.9
34.961,-492.2,-1.065,2.3,0.0031,15.4,524
35.059,-492.2,-1.132,-0.3,0.0015,14.7,557
35.156,-489.6,-1.212,-0.3,0.0031,14.7,593.1
35.254,-491.3,-1.268,1,0.0031,15,623.1
35.352,-488.3,-1.314,2.3,0.0046,15.4,641.8
35.449,-487.4,-1.38,1,0.0015,15,672.4
35.547,-484.3,-1.438,1,0.0046,15,696.6
35.645,-478.7,-1.508,4.8,0.0077,16.1,721.7
35.742,-471.3,-1.569,3.6,0,15.7,739.2
35.84,-470.9,-1.638,-10.5,0.0015,11.9,771.2
35.938,-467.4,-1.694,1,0.0031,15,792
36.035,-457.4,-1.747,3.6,0.0046,15.7,799.1
36.133,-450,-1.797,1,0.0031,15,808.8
36.23,-445.2,-1.856,1,0.0015,15,826.4
36.328,-442.2,-1.898,1,0.0046,15,839.3
36.426,-429.6,-1.965,4.8,0.0046,16.1,844.2
36.523,-420.9,-1.997,2.3,-0.0046,15.3,840.4
36.621,-414.3,-2.045,-1.5,-0.0061,14.3,847.4
36.719,-407.4,-2.112,-5.4,-0.023,13.2,860.5
36.816,-399.1,-2.14,-22,0.0031,8.9,854
36.914,-389.1,-2.194,2.3,0.0031,15.4,853.8
37.012,-380,-2.23,2.3,0.0015,15.3,847.4
37.109,-372.6,-2.274,2.3,0.0015,15.3,847.3
37.207,-364.8,-2.299,2.3,0.0031,15.4,838.7
37.305,-355.7,-2.32,2.3,0.0046,15.4,825.2
37.402,-348.7,-2.383,2.3,0.0015,15.3,831
37.5,-338.7,-2.396,2.3,0,15.3,811.4
37.598,-329.1,-2.434,1,0.0046,15,801
37.695,-322.2,-2.473,3.6,0.0061,15.7,796.9
37.793,-313.5,-2.492,3.6,0.0015,15.7,781.3
37.891,-304.8,-2.524,-4.1,0,13.6,769.2
37.988,-292.2,-2.564,2.3,0.0031,15.4,749.1
38.086,-284.3,-2.578,2.3,0.0031,15.4,733.2
38.184,-274.3,-2.602,2.3,0.0015,15.3,713.7
38.281,-259.6,-2.637,3.6,0.0046,15.7,684.5
38.379,-249.6,-2.629,3.6,0.0061,15.7,656.1
38.477,-233.9,-2.646,4.8,0.0031,16,618.9
38.574,-222.2,-2.65,6.1,-0.0015,16.4,588.7
38.672,-206.5,-2.656,-1.5,-0.0061,14.3,548.6
38.77,-192.6,-2.656,-4.1,-0.0215,13.5,511.6
38.867,-180,-2.669,-22,0.0015,8.9,480.4
38.965,-164.8,-2.644,3.6,0.0015,15.7,435.6
39.063,-151.3,-2.631,2.3,0.0031,15.4,398.1
39.16,-136.1,-2.61,1,0.0015,15,355.2
39.258,-120.9,-2.616,1,0.0031,15,316.2
39.355,-112.2,-2.57,1,0.0046,15,288.3
39.453,-99.1,-2.581,1,0.0015,15,255.8
39.551,-87,-2.547,1,0.0015,15,221.5
39.648,-73,-2.509,-0.3,0.0031,14.7,183.3
39.746,-52.2,-2.503,2.3,0.0046,15.4,130.6
39.844,-37.4,-2.469,4.8,0,16,92.3
39.941,-17.8,-2.44,-2.8,-0.0015,14,43.5
40.039,-0.9,-2.396,1,0.0031,15,2.1
40.137,16.5,-2.371,2.3,0.0031,15.4,-39.2
40.234,33.9,-2.316,1,0,15,-78.5
40.332,49.6,-2.282,-0.3,0,14.7,-113.1
40.43,67,-2.224,-0.3,0.0015,14.7,-148.9
40.527,84.3,-2.198,2.3,0.0046,15.4,-185.4
40.625,99.6,-2.121,2.3,0,15.3,-211.2
40.723,116.5,-2.083,-1.5,-0.0015,14.3,-242.7
40.82,133.9,-2.037,1,0.0046,15,-272.7
40.918,143.9,-1.986,2.3,0.0015,15.3,-285.9
41.016,161.7,-1.932,-0.3,0.0031,14.7,-312.4
41.113,173.5,-1.862,1,0.0015,15,-323.1
41.211,185.7,-1.81,1,0.0031,15,-336
41.309,199.6,-1.743,1,0.0015,15,-347.8
41.406,212.6,-1.682,2.3,0.0031,15.4,-357.6
41.504,226.5,-1.64,2.3,0,15.3,-371.5
41.602,238.3,-1.577,-1.5,0,14.3,-375.7
41.699,245.7,-1.512,-0.3,0.0031,14.7,-371.4
41.797,258.3,-1.459,2.3,0.0031,15.4,-376.9
41.895,268.3,-1.415,2.3,0,15.3,-379.6
41.992,285.2,-1.346,-0.3,-0.0015,14.6,-383.9
42.09,294.8,-1.298,1,0,15,-382.5
42.188,304.3,-1.228,2.3,0.0015,15.3,-373.8
42.285,310.9,-1.155,1,0.0015,15,-359
42.383,317.4,-1.098,-0.3,0,14.7,-348.5
42.48,327.8,-1.01,-0.3,0.0015,14.7,-331.1
42.578,337.8,-0.955,2.3,0.0015,15.3,-322.8
42.676,345.2,-0.873,2.3,-0.0031,15.3,-301.5
42.773,356.1,-0.792,-0.3,-0.0046,14.6,-281.9
42.871,366.1,-0.722,1,0.0015,15,-264.4
42.969,375.2,-0.643,-2.8,0,14,-241.1
43.066,384.8,-0.58,2.3,0,15.3,-223
43.164,393.9,-0.5,1,-0.0015,15,-196.9
43.262,400.4,-0.424,1,-0.0015,15,-169.8
43.359,409.1,-0.33,1,0.0015,15,-134.9
43.457,418.3,-0.26,1,0.0015,15,-108.9
43.555,428.3,-0.16,2.3,0.0015,15.3,-68.3
43.652,435.2,-0.084,-0.3,-0.0015,14.6,-36.6
43.75,443.9,0,-0.3,0.0046,14.7,0
43.848,453.5,0.08,2.3,0.0077,15.4,36.2
43.945,459.1,0.17,3.6,0.0031,15.7,78.1
44.043,469.6,0.273,-0.3,-0.0015,14.6,128.2
44.141,475.7,0.355,-9.2,0.0046,12.3,168.8
44.238,479.6,0.443,2.3,0.0046,15.4,212.5
44.336,488.7,0.529,2.3,0.0015,15.3,258.6
44.434,491.3,0.603,-0.3,0.0015,14.7,296.1
44.531,493.5,0.693,1,0.0046,15,341.9
44.629,493.5,0.781,3.6,0.0061,15.7,385.5
44.727,492.2,0.859,2.3,0.0015,15.3,422.7
44.824,491.7,0.932,-0.3,0,14.7,458.4
44.922,491.3,1.006,-1.5,-0.0031,14.3,494.1
45.02,493,1.073,-23.2,0.0061,8.5,529
45.117,492.2,1.132,2.3,0.0031,15.4,557
45.215,491.7,1.203,3.6,0.0031,15.7,591.6
45.313,488.3,1.266,2.3,0.0031,15.4,618.2
45.41,486.1,1.306,1,0.0031,15,634.8
45.508,483.5,1.386,1,0.0046,15,670
45.605,480.9,1.449,1,0.0031,15,696.7
45.703,476.5,1.497,1,0.0015,15,713.4
45.801,474.3,1.583,-0.3,0.0031,14.7,751
45.898,469.6,1.665,3.6,0.0061,15.7,781.9
45.996,460.9,1.711,4.8,0.0046,16.1,788.7
46.094,457,1.768,-0.3,-0.0015,14.6,807.9
46.191,448.7,1.812,-10.5,0.0031,11.9,813.1
46.289,442.2,1.869,2.3,0.0046,15.4,826.3
46.387,435.7,1.928,2.3,0.0015,15.3,839.7
46.484,426.1,1.972,2.3,0.0031,15.4,840.1
46.582,421.7,2.03,2.3,0.0046,15.4,856.3
46.68,413.5,2.077,2.3,0.0046,15.4,858.6
46.777,404.8,2.125,3.6,0.0015,15.7,860.1
