Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
22.461		341.7		-0.491		2.9		-0.0022		236.0		-167.9						
22.559		348.7		-0.437		4.2		-0.0022		236.4		-152.3						
22.656		358.7		-0.380		1.7		-0.0068		235.3		-136.3						
22.754		368.3		-0.321		0.4		-0.0068		234.9		-118.3						
22.852		377.8		-0.273		1.7		-0.0037		235.6		-103.1						
22.949		385.7		-0.214		1.7		-0.0037		235.6		-82.6						
23.047		393.5		-0.149		1.7		-0.0037		235.6		-58.7						
23.145		405.7		-0.090		1.7		-0.0037		235.6		-36.6						
23.242		415.2		-0.036		1.7		-0.0052		235.4		-14.8						
23.340		423.5		0.027		0.4		0.0009		235.6		11.6						
23.438		429.6		0.069		4.2		0.0009		236.7		29.8						
23.535		442.6		0.132		1.7		-0.0022		235.7		58.5						
23.633		446.5		0.187		0.4		-0.0037		235.2		83.4						
23.730		456.5		0.235		-0.9		0.0009		235.3		107.4						
23.828		460.4		0.298		0.4		-0.0190		233.8		137.3						
23.926		474.3		0.349		0.4		-0.0022		235.4		165.3						
24.023		477.8		0.412		1.7		0.0009		236.0		196.6						
24.121		485.7		0.472		1.7		0.0009		236.0		229.4						
24.219		490.0		0.527		1.7		0.0009		236.0		258.2						
24.316		493.0		0.596		1.7		-0.0006		235.8		294.0						
24.414		491.7		0.636		0.4		-0.0006		235.5		312.9						
24.512		495.7		0.687		0.4		0.0024		235.8		340.3						
24.609		493.5		0.724		5.5		0.0024		237.2		357.5						
24.707		496.1		0.783		2.9		-0.0006		236.2		388.5						
24.805		495.2		0.831		-2.2		-0.0006		234.8		411.8						
24.902		497.0		0.878		-0.9		0.0009		235.3		436.2						
25.000		492.6		0.924		0.4		-0.0022		235.4		455.1						
25.098		495.2		0.976		1.7		0.0009		236.0		483.5						
25.195		490.9		1.002		2.9		-0.0022		236.0		491.6						
25.293		491.3		1.060		1.7		-0.0022		235.7		521.0						
25.391		487.4		1.117		1.7		-0.0006		235.8		544.4						
25.488		483.0		1.165		4.2		0.0024		236.8		562.9						
25.586		481.3		1.197		2.9		-0.0022		236.0		576.0						
25.684		473.9		1.226		0.4		-0.0083		234.8		581.1						
25.781		468.7		1.275		-4.7		-0.0190		232.4		597.4						
25.879		460.9		1.314		-9.8		-0.1141		222.5		605.8						
25.977		456.1		1.359		2.9		-0.0037		235.9		619.6						
26.074		445.2		1.396		-2.2		-0.0022		234.7		621.7						
26.172		442.2		1.422		1.7		0.0009		236.0		628.6						
26.270		432.2		1.457		2.9		-0.0006		236.2		629.8						
26.367		422.6		1.480		2.9		-0.0022		236.0		625.6						
26.465		419.1		1.508		0.4		-0.0022		235.4		631.9						
26.563		410.9		1.535		1.7		0.0040		236.3		630.6						
26.660		401.3		1.581		5.5		0.0024		237.2		634.5						
26.758		394.3		1.581		2.9		0.0009		236.3		623.5						
26.855		383.5		1.627		-0.9		0.0009		235.3		624.0						
26.953		377.0		1.644		2.9		-0.0006		236.2		619.8						
27.051		370.4		1.663		1.7		-0.0006		235.8		616.0						
27.148		360.4		1.682		2.9		-0.0006		236.2		606.2						
27.246		353.0		1.703		4.2		-0.0022		236.4		601.2						
27.344		339.1		1.730		1.7		-0.0037		235.6		586.8						
27.441		334.8		1.745		0.4		-0.0037		235.2		584.2						
27.539		327.0		1.749		1.7		-0.0006		235.8		571.9						
27.637		317.4		1.762		4.2		-0.0037		236.3		559.1						
27.734		308.3		1.778		0.4		-0.0098		234.7		548.2						
27.832		297.4		1.799		-4.7		-0.0190		232.4		535.1						
27.930		287.8		1.797		-9.8		-0.0803		225.6		517.3						
28.027		280.4		1.820		4.2		-0.0006		236.5		510.5						
28.125		263.9		1.827		1.7		-0.0006		235.8		482.1						
28.223		252.2		1.833		1.7		0.0009		236.0		462.3						
28.320		242.2		1.844		2.9		0.0009		236.3		446.5						
28.418		228.3		1.848		2.9		0.0009		236.3		421.8						
28.516		212.2		1.827		0.4		-0.0006		235.5		387.6						
28.613		198.3		1.827		2.9		0.0040		236.6		362.2						
28.711		186.1		1.833		5.5		0.0024		237.2		341.1						
28.809		169.1		1.820		2.9		0.0024		236.5		307.9						
28.906		152.2		1.795		-2.2		0.0009		234.9		273.2						
29.004		137.4		1.799		1.7		-0.0006		235.8		247.2						
29.102		124.8		1.766		1.7		0.0009		236.0		220.4						
29.199		111.3		1.751		1.7		0.0009		236.0		194.9						
29.297		101.3		1.739		1.7		0.0009		236.0		176.1						
29.395		84.3		1.705		1.7		-0.0006		235.8		143.8						
29.492		69.6		1.697		1.7		-0.0006		235.8		118.0						
29.590		55.7		1.661		1.7		0.0009		236.0		92.4						
29.688		37.4		1.646		4.2		-0.0022		236.4		61.6						
29.785		17.4		1.617		0.4		-0.0037		235.2		28.1						
29.883		3.9		1.573		-2.2		0.0009		234.9		6.2						
29.980		-15.2		1.539		1.7		-0.0052		235.4		-23.4						
30.078		-30.9		1.518		29.7		-0.0006		243.5		-46.9						
30.176		-47.8		1.497		2.9		0.0009		236.3		-71.6						
30.273		-67.4		1.440		1.7		0.0009		236.0		-97.1						
30.371		-83.0		1.403		1.7		0.0009		236.0		-116.5						
30.469		-101.3		1.363		2.9		0.0009		236.3		-138.1						
30.566		-113.9		1.342		0.4		0.0009		235.6		-152.8						
30.664		-132.6		1.291		1.7		0.0040		236.3		-171.2						
30.762		-147.8		1.262		4.2		0.0024		236.8		-186.5						
30.859		-161.7		1.220		1.7		0.0024		236.1		-197.3						
30.957		-174.8		1.182		-2.2		0.0009		234.9		-206.6						
