Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		16.5		-0.099		-1.1		-0.0022		158.2		-1.6						
0.098		34.3		-0.071		1.5		-0.0007		157.7		-2.5						
0.195		52.6		-0.048		-2.4		-0.0053		158.8		-2.5						
0.293		68.7		-0.031		-6.2		-0.0053		159.3		-2.2						
0.391		83.9		-0.015		-1.1		0.0054		157.2		-1.2						
0.488		100.4		-0.004		-1.1		0.0008		157.8		-0.4						
0.586		115.7		0.019		-4.9		0.0008		158.3		2.2						
0.684		130.4		0.052		-3.6		0.0008		158.1		6.8						
0.781		146.5		0.084		-3.6		0.0008		158.1		12.3						
0.879		160.0		0.103		-4.9		-0.0007		158.5		16.5						
0.977		170.9		0.128		-6.2		-0.0007		158.6		21.9						
1.074		185.2		0.143		-4.9		0.0008		158.3		26.4						
1.172		198.3		0.166		-4.9		0.0024		158.0		32.9						
1.270		207.8		0.183		-4.9		-0.0007		158.5		38.0						
1.367		224.3		0.216		-6.2		-0.0022		158.8		48.5						
1.465		233.5		0.233		-4.9		0.0024		158.0		54.4						
1.563		243.9		0.237		-3.6		0.0039		157.7		57.9						
1.660		253.9		0.233		-3.6		0.0039		157.7		59.2						
1.758		266.1		0.286		-7.5		0.0008		158.6		76.0						
1.855		280.0		0.307		-4.9		0.0008		158.3		85.8						
1.953		288.3		0.336		-4.9		0.0024		158.0		96.8						
2.051		298.3		0.351		-4.9		0.0024		158.0		104.6						
2.148		304.3		0.359		-3.6		0.0039		157.7		109.3						
2.246		314.3		0.382		-4.9		0.0008		158.3		120.1						
2.344		326.1		0.399		-7.5		0.0008		158.6		130.1						
2.441		333.5		0.412		-3.6		0.0070		157.2		137.2						
2.539		343.9		0.424		-4.9		0.0008		158.3		145.9						
2.637		352.2		0.437		-4.9		0.0008		158.3		153.8						
2.734		360.0		0.456		-3.6		0.0008		158.1		164.0						
2.832		366.1		0.466		-3.6		0.0024		157.9		170.6						
2.930		378.7		0.472		-3.6		0.0008		158.1		178.9						
3.027		387.0		0.479		-6.2		0.0024		158.2		185.3						
3.125		393.5		0.504		-3.6		0.0024		157.9		198.3						
3.223		406.5		0.510		-2.4		0.0024		157.7		207.4						
3.320		412.6		0.523		-3.6		-0.0007		158.3		215.7						
3.418		421.3		0.535		-7.5		0.0008		158.6		225.6						
3.516		430.4		0.538		-3.6		0.0039		157.7		231.4						
3.613		438.3		0.544		-4.9		0.0008		158.3		238.3						
3.711		446.1		0.563		-3.6		0.0024		157.9		251.0						
3.809		456.5		0.563		-8.7		0.0024		158.5		256.9						
3.906		462.2		0.590		-4.9		0.0008		158.3		272.7						
4.004		469.1		0.586		-4.9		0.0024		158.0		274.8						
4.102		476.1		0.592		-4.9		0.0024		158.0		281.9						
4.199		481.7		0.611		-2.4		0.0008		158.0		294.4						
4.297		479.6		0.624		-4.9		-0.0007		158.5		299.1						
4.395		484.3		0.634		-6.2		0.0008		158.4		307.1						
4.492		481.7		0.640		-3.6		0.0054		157.5		308.5						
4.590		480.4		0.661		-4.9		0.0054		157.6		317.8						
4.688		482.6		0.664		-3.6		0.0024		157.9		320.2						
4.785		483.0		0.664		-4.9		0.0008		158.3		320.5						
4.883		482.6		0.666		-3.6		0.0024		157.9		321.2						
4.980		481.7		0.680		-3.6		0.0024		157.9		327.7						
5.078		480.9		0.693		-3.6		0.0008		158.1		333.2						
5.176		478.7		0.685		-3.6		0.0024		157.9		327.7						
5.273		477.4		0.674		-3.6		0.0008		158.1		321.8						
5.371		470.4		0.685		-2.4		0.0008		158.0		322.0						
5.469		470.0		0.682		-3.6		-0.0007		158.3		320.7						
5.566		464.8		0.691		-1.1		0.0054		157.2		321.1						
5.664		460.4		0.689		1.5		0.0039		157.1		317.1						
5.762		453.0		0.666		0.2		0.0039		157.2		301.6						
5.859		449.1		0.685		-4.9		0.0039		157.8		307.4						
5.957		443.9		0.676		-1.1		0.0024		157.6		300.1						
6.055		437.4		0.672		-1.1		0.0024		157.6		293.9						
6.152		425.2		0.655		-1.1		0.0054		157.2		278.6						
6.250		419.1		0.664		1.5		0.0054		156.9		278.1						
6.348		414.8		0.651		0.2		0.0008		157.7		270.0						
6.445		407.0		0.655		-2.4		0.0008		158.0		266.6						
6.543		399.1		0.630		-2.4		0.0070		157.1		251.4						
6.641		387.4		0.617		0.2		0.0039		157.2		239.1						
6.738		379.1		0.615		-1.1		0.0024		157.6		233.2						
6.836		374.8		0.603		-2.4		0.0024		157.7		225.9						
6.934		365.7		0.584		0.2		0.0039		157.2		213.4						
7.031		355.7		0.569		0.2		0.0024		157.4		202.4						
7.129		346.1		0.550		0.2		0.0024		157.4		190.4						
7.227		338.3		0.552		-1.1		0.0039		157.4		186.8						
7.324		332.6		0.538		1.5		0.0054		156.9		178.8						
7.422		321.7		0.519		0.2		0.0039		157.2		166.9						
7.520		314.3		0.523		-2.4		0.0024		157.7		164.4						
7.617		307.4		0.512		-1.1		0.0054		157.2		157.5						
7.715		297.0		0.502		1.5		0.0054		156.9		149.0						
7.813		286.5		0.468		0.2		0.0039		157.2		134.2						
7.910		278.7		0.460		-3.6		0.0054		157.5		128.2						
8.008		266.5		0.454		0.2		0.0024		157.4		120.9						
8.105		254.8		0.435		-2.4		0.0024		157.7		110.7						
8.203		241.3		0.422		-1.1		0.0039		157.4		101.8						
8.301		226.1		0.412		2.7		0.0039		156.9		93.0						
8.398		215.2		0.397		1.5		-0.0022		158.0		85.4						
8.496		199.1		0.374		-2.4		0.0039		157.5		74.4						
8.594		189.1		0.357		0.2		0.0085		156.6		67.5						
8.691		174.8		0.340		2.7		0.0039		156.9		59.5						
8.789		156.5		0.321		-1.1		0.0024		157.6		50.3						
8.887		143.0		0.304		-1.1		0.0039		157.4		43.6						
8.984		128.3		0.294		0.2		0.0024		157.4		37.7						
9.082		118.7		0.256		-1.1		0.0008		157.8		30.4						
9.180		110.0		0.252		-1.1		0.0024		157.6		27.7						
9.277		91.3		0.233		-2.4		0.0039		157.5		21.3						
9.375		78.3		0.212		-1.1		0.0024		157.6		16.6						
9.473		63.5		0.181		-1.1		0.0008		157.8		11.5						
9.570		44.8		0.157		-3.6		0.0008		158.1		7.1						
9.668		28.3		0.143		-2.4		0.0039		157.5		4.0						
9.766		9.6		0.128		1.5		0.0054		156.9		1.2						
9.863		-4.8		0.105		-1.1		0.0024		157.6		-0.5						
9.961		-20.4		0.082		-2.4		0.0039		157.5		-1.7						
10.059		-36.5		0.076		-1.1		0.0024		157.6		-2.8						
10.156		-55.2		0.048		-2.4		0.0008		158.0		-2.7						
10.254		-72.2		0.025		-2.4		0.0024		157.7		-1.8						
