Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
46.582		217.8		0.859		-1.4		0.0009		53.1		187.1						
46.680		211.7		0.892		-0.2		0.0024		53.3		189.0						
46.777		207.0		0.909		-6.5		0.0009		52.6		188.2						
46.875		203.5		0.920		-1.4		-0.0068		52.5		187.1						
46.973		197.4		0.943		-2.7		-0.0007		52.9		186.1						
47.070		191.7		0.962		-2.7		0.0009		53.0		184.4						
47.168		190.4		0.960		-1.4		0.0009		53.1		182.7						
47.266		183.0		0.999		-4.0		-0.0007		52.7		182.9						
47.363		178.7		0.999		-4.0		-0.0007		52.7		178.6						
47.461		174.3		1.016		-2.7		0.0009		53.0		177.2						
47.559		171.3		1.023		1.1		0.0009		53.3		175.2						
47.656		161.3		1.048		-1.4		-0.0022		52.8		169.0						
47.754		157.4		1.052		-5.3		-0.0022		52.5		165.6						
47.852		152.6		1.058		-2.7		0.0070		53.4		161.5						
47.949		146.5		1.090		-0.2		0.0009		53.2		159.7						
48.047		137.4		1.088		-4.0		-0.0022		52.6		149.4						
48.145		131.3		1.088		-4.0		0.0024		53.0		142.8						
48.242		123.5		1.107		-1.4		0.0009		53.1		136.6						
48.340		117.0		1.117		-2.7		-0.0007		52.9		130.6						
48.438		108.3		1.119		-2.7		-0.0022		52.7		121.2						
48.535		100.4		1.119		-1.4		0.0009		53.1		112.4						
48.633		93.9		1.111		-0.2		0.0024		53.3		104.3						
48.730		86.1		1.117		-2.7		-0.0007		52.9		96.2						
48.828		77.0		1.109		-9.1		0.0009		52.4		85.3						
48.926		68.7		1.111		-5.3		-0.0037		52.4		76.3						
49.023		60.0		1.094		-6.5		-0.0022		52.4		65.6						
49.121		53.5		1.086		-6.5		-0.0007		52.5		58.1						
49.219		45.7		1.088		-4.0		-0.0007		52.7		49.7						
49.316		39.1		1.071		-5.3		-0.0007		52.6		41.9						
49.414		30.4		1.062		-7.8		-0.0007		52.4		32.3						
49.512		21.7		1.044		-5.3		0.0009		52.8		22.7						
49.609		14.8		1.039		-2.7		-0.0007		52.9		15.4						
49.707		2.2		1.014		-5.3		-0.0037		52.4		2.2						
49.805		-7.0		1.006		-9.1		-0.0022		52.2		-7.0						
49.902		-15.2		0.976		-5.3		0.0024		52.9		-14.9						
