Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
35.840		-520.0		-0.382		5.2		-0.0119		158.46		198.7						
35.938		-518.7		-0.380		4.0		0.0019		160.35		197.1						
36.035		-507.0		-0.414		5.2		0.0003		160.27		209.7						
36.133		-499.1		-0.422		5.2		-0.0058		159.37		210.7						
36.230		-490.0		-0.430		4.0		0.0003		160.13		210.9						
36.328		-484.8		-0.449		4.0		0.0003		160.13		217.8						
36.426		-475.7		-0.454		4.0		0.0003		160.13		215.7						
36.523		-465.7		-0.468		5.2		-0.0012		160.05		218.0						
36.621		-456.5		-0.485		2.7		0.0003		159.98		221.4						
36.719		-449.1		-0.485		4.0		0.0019		160.35		217.8						
36.816		-437.8		-0.508		7.8		0.0034		161.02		222.5						
36.914		-427.0		-0.506		4.0		-0.0012		159.90		216.1						
37.012		-419.1		-0.535		0.1		0.0003		159.69		224.4						
37.109		-406.5		-0.546		5.2		0.0065		161.18		221.9						
37.207		-400.0		-0.546		4.0		0.0003		160.13		218.4						
37.305		-388.7		-0.552		4.0		0.0034		160.58		214.6						
37.402		-377.4		-0.571		4.0		0.0003		160.13		215.5						
37.500		-370.4		-0.594		4.0		-0.0012		159.90		220.1						
37.598		-362.2		-0.592		2.7		0.0019		160.21		214.5						
37.695		-347.8		-0.613		6.5		0.0049		161.10		213.3						
37.793		-338.3		-0.619		7.8		0.0003		160.56		209.5						
37.891		-327.0		-0.632		5.2		-0.0073		159.14		206.6						
37.988		-316.1		-0.651		5.2		0.0019		160.50		205.7						
38.086		-303.5		-0.657		5.2		0.0003		160.27		199.5						
38.184		-287.4		-0.664		5.2		-0.0012		160.05		190.7						
38.281		-274.8		-0.682		4.0		0.0019		160.35		187.5						
38.379		-255.2		-0.685		5.2		0.0003		160.27		174.7						
38.477		-243.0		-0.687		5.2		0.0003		160.27		166.9						
38.574		-225.2		-0.693		2.7		-0.0012		159.76		156.1						
38.672		-211.3		-0.691		1.4		0.0003		159.84		146.0						
38.770		-194.8		-0.708		2.7		0.0019		160.21		137.8						
38.867		-174.3		-0.703		4.0		0.0019		160.35		122.6						
38.965		-158.7		-0.703		2.7		-0.0012		159.76		111.6						
39.063		-144.3		-0.695		0.1		0.0003		159.69		100.3						
39.160		-130.9		-0.708		4.0		0.0034		160.58		92.6						
39.258		-118.7		-0.689		4.0		-0.0012		159.90		81.7						
39.355		-100.9		-0.693		1.4		0.0019		160.06		69.9						
39.453		-82.6		-0.674		4.0		-0.0012		159.90		55.7						
39.551		-65.7		-0.678		1.4		-0.0027		159.39		44.5						
39.648		-49.1		-0.674		1.4		-0.0012		159.61		33.1						
39.746		-27.4		-0.659		4.0		0.0034		160.58		18.1						
39.844		-5.7		-0.655		6.5		0.0003		160.42		3.7						
39.941		9.6		-0.649		1.4		0.0003		159.84		-6.2						
40.039		28.7		-0.638		4.0		0.0019		160.35		-18.3						
40.137		48.3		-0.632		1.4		-0.0012		159.61		-30.5						
40.234		65.7		-0.624		1.4		-0.0012		159.61		-40.9						
40.332		90.0		-0.617		4.0		0.0019		160.35		-55.6						
40.430		106.1		-0.613		2.7		0.0019		160.21		-65.0						
40.527		126.5		-0.584		2.7		-0.0012		159.76		-73.9						
40.625		144.8		-0.588		2.7		0.0003		159.98		-85.1						
40.723		159.1		-0.580		1.4		-0.0012		159.61		-92.2						
40.820		177.4		-0.546		2.7		0.0019		160.21		-96.8						
40.918		188.7		-0.559		5.2		0.0003		160.27		-105.4						
41.016		204.8		-0.533		2.7		-0.0027		159.53		-109.2						
41.113		220.0		-0.533		0.1		-0.0012		159.47		-117.3						
41.211		235.2		-0.527		2.7		0.0003		159.98		-124.0						
41.309		251.3		-0.517		5.2		-0.0027		159.82		-129.8						
41.406		262.6		-0.504		2.7		0.0003		159.98		-132.3						
41.504		277.0		-0.487		2.7		0.0003		159.98		-134.9						
41.602		288.7		-0.483		2.7		-0.0027		159.53		-139.4						
41.699		298.7		-0.458		1.4		0.0003		159.84		-136.7						
41.797		310.9		-0.454		5.2		0.0034		160.73		-141.0						
41.895		324.8		-0.426		6.5		0.0003		160.42		-138.4						
41.992		333.9		-0.426		2.7		-0.0012		159.76		-142.3						
42.090		349.1		-0.395		2.7		0.0019		160.21		-137.8						
42.188		356.5		-0.376		2.7		-0.0012		159.76		-134.0						
42.285		370.0		-0.376		2.7		0.0003		159.98		-139.1						
42.383		381.7		-0.351		1.4		-0.0012		159.61		-133.9						
42.480		390.9		-0.351		2.7		0.0019		160.21		-137.1						
42.578		399.1		-0.321		4.0		-0.0012		159.90		-128.2						
42.676		409.6		-0.304		2.7		-0.0012		159.76		-124.7						
42.773		423.9		-0.298		1.4		-0.0027		159.39		-126.4						
42.871		427.0		-0.281		2.7		0.0019		160.21		-120.1						
42.969		441.3		-0.248		4.0		0.0003		160.13		-109.3						
43.066		448.7		-0.227		1.4		-0.0043		159.16		-101.8						
43.164		461.7		-0.210		0.1		-0.0012		159.47		-97.0						
43.262		472.6		-0.191		2.7		-0.0012		159.76		-90.3						
43.359		483.0		-0.174		6.5		-0.0012		160.19		-84.2						
43.457		491.3		-0.157		1.4		0.0003		159.84		-77.4						
43.555		499.6		-0.145		4.0		0.0003		160.13		-72.4						
43.652		507.4		-0.118		5.2		-0.0012		160.05		-59.7						
43.750		514.8		-0.101		4.0		0.0003		160.13		-51.9						
43.848		523.9		-0.076		7.8		0.0019		160.79		-39.6						
43.945		537.0		-0.055		9.1		-0.0012		160.48		-29.3						
44.043		542.6		-0.029		6.5		-0.0012		160.19		-16.0						
44.141		547.8		0.008		7.8		0.0049		161.24		4.6						
44.238		553.0		0.017		7.8		0.0049		161.24		9.3						
44.336		553.5		0.046		6.5		0.0034		160.87		25.6						
44.434		555.7		0.067		5.2		0.0019		160.50		37.3						
44.531		556.5		0.094		6.5		0.0034		160.87		52.6						
44.629		557.0		0.118		6.5		0.0034		160.87		65.5						
44.727		561.3		0.145		7.8		0.0019		160.79		81.3						
44.824		557.4		0.157		5.2		0.0003		160.27		87.8						
44.922		555.7		0.181		5.2		0.0034		160.73		100.3						
45.020		555.7		0.195		9.1		0.0034		161.16		108.5						
45.117		555.7		0.229		5.2		-0.0012		160.05		127.2						
45.215		548.3		0.252		4.0		0.0003		160.13		138.1						
45.313		550.4		0.231		5.2		0.0019		160.50		127.1						
45.410		543.0		0.288		12.9		0.0003		161.14		156.2						
45.508		538.3		0.315		5.2		0.0003		160.27		169.5						
45.605		534.8		0.319		7.8		0.0019		160.79		170.7						
45.703		530.9		0.351		6.5		0.0003		160.42		186.2						
45.801		527.8		0.363		5.2		0.0003		160.27		191.7						
45.898		517.8		0.380		7.8		0.0034		161.02		196.8						
45.996		508.3		0.393		10.3		0.0019		161.08		199.6						
46.094		502.6		0.397		5.2		0.0003		160.27		199.5						
46.191		495.2		0.414		7.8		0.0034		161.02		204.8						
46.289		485.7		0.426		7.8		0.0034		161.02		207.0						
46.387		472.6		0.445		7.8		0.0034		161.02		210.4						
46.484		467.0		0.458		5.2		0.0003		160.27		213.7						
46.582		457.8		0.472		6.5		0.0019		160.64		216.3						
46.680		447.0		0.485		7.8		0.0019		160.79		216.8						
46.777		440.4		0.485		6.5		0.0003		160.42		213.6						
46.875		430.9		0.498		5.2		0.0019		160.50		214.4						
46.973		423.5		0.508		6.5		0.0034		160.87		215.2						
47.070		408.7		0.514		9.1		0.0019		160.94		210.2						
47.168		403.0		0.525		7.8		-0.0012		160.34		211.6						
47.266		391.7		0.550		4.0		0.0003		160.13		215.5						
47.363		380.4		0.561		6.5		0.0019		160.64		213.3						
47.461		372.2		0.582		12.9		0.0003		161.14		216.5						
47.559		362.6		0.596		6.5		0.0019		160.64		216.2						
47.656		353.0		0.598		6.5		0.0034		160.87		211.3						
47.754		342.6		0.615		6.5		-0.0012		160.19		210.8						
47.852		329.6		0.615		5.2		0.0019		160.50		202.8						
47.949		320.9		0.628		7.8		0.0049		161.24		201.4						
48.047		304.8		0.645		9.1		0.0019		160.94		196.5						
48.145		291.7		0.659		6.5		-0.0012		160.19		192.3						
48.242		278.3		0.664		6.5		0.0019		160.64		184.6						
48.340		261.7		0.678		7.8		0.0034		161.02		177.5						
48.438		247.0		0.680		7.8		0.0019		160.79		168.0						
48.535		231.7		0.691		7.8		0.0003		160.56		160.1						
48.633		218.7		0.689		6.5		0.0034		160.87		150.6						
48.730		199.1		0.699		0.1		0.0034		160.14		139.2						
48.828		184.3		0.695		0.1		0.0003		159.69		128.1						
48.926		164.3		0.691		-2.4		0.0003		159.40		113.5						
49.023		146.1		0.699		0.1		0.0034		160.14		102.1						
49.121		133.9		0.687		1.4		0.0019		160.06		91.9						
49.219		117.0		0.689		-1.1		-0.0012		159.32		80.5						
49.316		104.8		0.687		-3.7		-0.0012		159.03		71.9						
49.414		92.2		0.678		-2.4		0.0019		159.63		62.5						
49.512		72.2		0.687		2.7		0.0003		159.98		49.6						
49.609		53.9		0.682		-2.4		0.0003		159.40		36.8						
49.707		37.4		0.664		0.1		0.0019		159.92		24.8						
49.805		17.4		0.661		-2.4		0.0003		159.40		11.5						
49.902		-4.3		0.657		-2.4		0.0019		159.63		-2.9						
