Time,E1,I1,E2,I2,E3,I3,AI8,Pm,Torque,Category
58.59,-60.4,-1.58,-487.7,0.19,430.4,1.58,1019.7,321.8,3,Over Current
59.57,120,-1.24,-396.5,-0.34,519.1,1.79,1020.9,322.4,3,Over Current
60.55,275.7,-0.87,-261.5,-0.87,537.4,1.82,1020.9,322.4,3,Over Current
61.52,388.3,-0.48,-117.7,-1.47,507.8,1.55,1022.2,322.9,3,Over Current
62.5,482.6,0.01,54.3,-1.8,429.6,1.18,1023.5,323,3,Over Current
63.48,540,0.57,220.6,-1.95,323.9,0.88,1024.8,323.6,3,Over Current
64.45,529.6,1.17,350.5,-1.76,178.7,0.51,1024.8,323.4,3,Over Current
65.43,462.6,1.64,448.2,-1.45,20.9,0.05,1020.9,322.5,3,Over Current
66.41,374.3,1.85,531.6,-1.14,-156.5,-0.47,1022.2,322.4,3,Over Current
67.38,242.2,2,542.5,-0.67,-297.8,-0.9,1003.1,307.9,3,Over Current
68.36,93.5,1.61,501.6,-0.32,-403.9,-1.51,1020.9,322,3,Over Current
69.34,-79.1,1.29,415.2,0.2,-491.7,-1.77,1018.4,321.1,3,Over Current
70.31,-249.1,0.93,288.4,0.71,-532.6,-1.83,1022.2,322.3,3,Over Current
71.29,-364.3,0.54,152.9,1.3,-513,-1.6,1023.5,322.4,3,Over Current
72.27,-462.6,0.08,-17.8,1.73,-446.1,-1.27,1026,323.8,3,Over Current
73.24,-542.6,-0.44,-189.4,1.91,-346.5,-0.92,1026,323.7,3,Over Current
74.22,-537,-1.05,-321,1.79,-204.8,-0.61,1024.8,323.4,3,Over Current
75.2,-484.8,-1.55,-428.7,1.51,-52.6,-0.16,1022.2,322.3,3,Over Current
76.17,-396.1,-1.79,-517.3,1.21,123.5,0.38,1024.8,323.6,3,Over Current
77.15,-279.1,-1.98,-552.4,0.77,274.3,0.79,1023.5,322.9,3,Over Current
78.13,-124.3,-1.7,-512.5,0.37,387,1.39,1027.3,324.2,3,Over Current
79.1,40.4,-1.36,-438.7,-0.11,482.6,1.73,1024.8,323.1,3,Over Current
80.08,217,-1.04,-323.1,-0.65,541.7,1.84,1023.5,322.9,3,Over Current
81.06,337.4,-0.63,-189.4,-1.2,529.1,1.68,1023.5,322.7,3,Over Current
82.03,442.6,-0.18,-23.9,-1.66,468.7,1.34,1023.5,322.9,3,Over Current
83.01,533.9,0.34,159.8,-1.91,377.8,1,1023.5,322.5,3,Over Current
83.98,537.8,0.88,292.7,-1.87,244.3,0.68,1026,323.5,3,Over Current
84.96,497.4,1.5,400,-1.59,95.7,0.28,1023.5,322.9,3,Over Current
85.94,413,1.78,496,-1.28,-77.4,-0.27,986.5,312.9,3,Over Current
86.91,305.7,1.92,555.5,-0.91,-243.5,-0.76,1024.8,322.9,3,Over Current
87.89,153.5,1.8,512.5,-0.47,-358.7,-1.27,1014.5,316.4,3,Over Current
88.87,-3.9,1.47,456.5,0,-454.3,-1.67,1022.2,321.6,3,Over Current
89.84,-184.3,1.1,357.4,0.51,-537,-1.84,1020.9,320.9,3,Over Current
90.82,-316.5,0.73,217.2,1.07,-529.6,-1.75,1027.3,323.7,3,Over Current
91.8,-422.2,0.33,64.3,1.63,-478.3,-1.41,1024.8,322.4,3,Over Current
